sentence,aspect_term,category,opinion_term,polarity,implicitness
"the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .",implicit,quality,disgusting .,negative,IAEO
"nice atmosphere , the service was very pleasant and the desert was good .","atmosphere ,",general,nice atmosphere,positive,EAEO
"nice atmosphere , the service was very pleasant and the desert was good .",service was,general,pleasant and,positive,EAEO
"nice atmosphere , the service was very pleasant and the desert was good .",desert was,quality,good .,positive,EAEO
this is the perfect date spot for williamsburg couples .,implicit,general,perfect date,positive,IAEO
the jukebox plays everything from italian opera to the strokes .,jukebox plays,general,implicit,positive,EAIO
"the food is amazing , rich pastas and fresh doughy pizza .",food is,quality,"amazing ,",positive,EAEO
"the food is amazing , rich pastas and fresh doughy pizza .",pastas and,ambience,rich pastas,positive,EAEO
"the food is amazing , rich pastas and fresh doughy pizza .",pizza .,quality,fresh doughy,positive,EAEO
"the food is amazing , rich pastas and fresh doughy pizza .",pizza .,quality,doughy pizza,positive,EAEO
"best of all is the warm vibe , the owner is super friendly and service is fast .","vibe ,",general,warm vibe,positive,EAEO
"best of all is the warm vibe , the owner is super friendly and service is fast .",owner is,general,friendly and,positive,EAEO
"best of all is the warm vibe , the owner is super friendly and service is fast .",service is,general,fast .,positive,EAEO
"if only they delivered , they ' d make a mint !",implicit,general,implicit,neutral,IAIO
go here for the drinks !,drinks !,quality,implicit,positive,EAIO
the drinks are amazing and half off till 8pm .,drinks are,quality,amazing and,positive,EAEO
the drinks are amazing and half off till 8pm .,drinks are,price,amazing and,positive,EAEO
my fav was the sassy lassi . . .,sassy lassi .,quality,fav was,positive,EAEO
this is an amazing place to try some roti rolls .,roti rolls .,quality,try some,positive,EAEO
i really recommend the very simple unda ( egg ) rolls .,unda ( egg ) rolls .,quality,recommend the,positive,EAEO
i really recommend the very simple unda ( egg ) rolls .,unda ( egg ) rolls .,quality,simple unda,positive,EAEO
"delicate spices , onions , eggs and a kick - ass roti .","spices ,",quality,delicate spices,positive,EAEO
"delicate spices , onions , eggs and a kick - ass roti .","onions ,",quality,delicate spices,positive,EAEO
"delicate spices , onions , eggs and a kick - ass roti .",eggs and,quality,delicate spices,positive,EAEO
"delicate spices , onions , eggs and a kick - ass roti .",roti .,quality,kick - ass roti,positive,EAEO
amazing !,implicit,quality,amazing !,positive,IAEO
"toons has recently been redone , so it ' s now a very attractive space .",toons has,general,attractive space,positive,EAEO
"in an area sadly lacking in decent thai food , this is one of the best spots .","thai food ,",quality,decent thai,positive,EAEO
"went here last night - nice decor , good service , but the food was surprisingly excellent .","decor ,",general,nice decor,positive,EAEO
"went here last night - nice decor , good service , but the food was surprisingly excellent .","service ,",general,good service,positive,EAEO
"went here last night - nice decor , good service , but the food was surprisingly excellent .",food was,quality,excellent .,positive,EAEO
"the portions are huge , so it might be good to order three things to split ( rather than one appetizer and entree per person ) for two people .",portions are,ambience,"huge ,",neutral,EAEO
ca n ' t wait to go back .,implicit,general,implicit,positive,IAIO
beef noodle soup is good as well .,beef noodle soup is,quality,good as,positive,EAEO
the service is good and the resturant is clean .,service is,general,good and,positive,EAEO
the service is good and the resturant is clean .,resturant is,general,clean .,positive,EAEO
best taiwanese food in ny !,taiwanese food in,quality,best taiwanese,positive,EAEO
i have been to rao ' s probably 15 times the past 3 years and it keeps getting better .,rao ' s probably,general,better .,positive,EAEO
rao ' s has the best service and atmosphere in nyc .,service and,general,best service,positive,EAEO
rao ' s has the best service and atmosphere in nyc .,atmosphere in,general,best service,positive,EAEO
good luck getting a table .,implicit,general,implicit,negative,IAIO
my roommate and i love this place .,place .,general,love this,positive,EAEO
"we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me .","outdoor seating ,",general,"delight ,",positive,EAEO
"we recently decided to try this location , and to our delight , they have outdoor seating , perfect since i had my yorkie with me .","outdoor seating ,",general,perfect since,positive,EAEO
indoor was very cozy and cute .,indoor was,general,cozy and,positive,EAEO
indoor was very cozy and cute .,indoor was,general,cute .,positive,EAEO
"the portion sizes here are huge , and the sushi is good .",portion sizes here,ambience,"huge ,",positive,EAEO
"the portion sizes here are huge , and the sushi is good .",sushi is,quality,good .,positive,EAEO
staff is very accomodating .,staff is,general,accomodating .,positive,EAEO
"excellent dumplings served amid clean , chic decor .",dumplings served,quality,excellent dumplings,positive,EAEO
"excellent dumplings served amid clean , chic decor .",decor .,general,"clean ,",positive,EAEO
"excellent dumplings served amid clean , chic decor .",decor .,general,chic decor,positive,EAEO
"i got the $ 10 10 - piece dim sum combo , every bite of which was great .","$ 10 10 - piece dim sum combo ,",quality,i got,positive,EAEO
but $ 1 for each small piece ? ? ?,implicit,price,implicit,negative,IAIO
i wo n ' t go back unless someone else is footing the bill .,implicit,price,implicit,negative,IAIO
the decor is very simple but comfortable .,decor is,general,simple but,positive,EAEO
the decor is very simple but comfortable .,decor is,general,comfortable .,positive,EAEO
the food was delicious but do not come here on a empty stomach .,food was,quality,delicious but,negative,EAEO
the portions are small but being that the food was so good makes up for that .,portions are,ambience,small but,negative,EAEO
the portions are small but being that the food was so good makes up for that .,food was,quality,good makes,positive,EAEO
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,crabmeat lasagna which,quality,out of this world and,positive,EAEO
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,chocolate bread pudding for,quality,implicit,positive,EAIO
the staff there is very attentive and down to earth .,staff there,general,attentive and,positive,EAEO
the staff there is very attentive and down to earth .,staff there,general,down to earth .,positive,EAEO
i loved it and would go again .,implicit,general,loved it,positive,IAEO
great indian food and the service is incredible .,indian food and,quality,great indian,positive,EAEO
great indian food and the service is incredible .,service is,general,incredible .,positive,EAEO
the owner truly caters to all your needs .,owner truly,general,implicit,positive,EAIO
"when family came in he gave them apps to test their palets , and then ordered for them .",implicit,general,implicit,positive,IAIO
everyone was more then happy with his choices .,implicit,general,happy with,positive,IAEO
great food and the prices are very reasonable .,food and,quality,great food,positive,EAEO
great food and the prices are very reasonable .,implicit,price,reasonable .,positive,IAEO
the food here does a great service to the name ( cantonese that is . . . ) .,food here,quality,great service,positive,EAEO
i fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork .,egg noodles in the beef broth with shrimp dumplings and slices of bbq roast pork .,quality,love with,positive,EAEO
